,Unnamed: 0,Id,Date Created,Number of Likes,Source of Tweet,Tweet,Followers,Following,Retweet Count,bot_or_nah
904,22,Santin16Giorgio,2023-02-11 02:55:25+00:00,0,Twitter Web App,"@RaufHabibov @sandumaiamd @EmmanuelMacron @NATO Macron's favorite courtesan #Armenia is #Iran regime's friend, who… https://t.co/2Zv98il0F3",3,12,0,1
916,34,JohnnyL55189795,2023-02-11 02:53:58+00:00,1,Twitter Web App,"@Paul69405499 @medialens @GeorgeMonbiot #Russia forced the Warsaw Pact on countries that didn't want it, which is w… https://t.co/fL4DitVMVc",61,12,0,1
923,41,ahlbaytrevive,2023-02-11 02:53:12+00:00,0,Twitter for iPhone,@richimedhurst #War monger #Putin: for someone who doesn't want a war he's been pretty busy. First there was… https://t.co/e8dTm1SSW8,19,26,0,1
926,44,GhoulPanza,2023-02-11 02:51:33+00:00,0,Twitter Web App,"RT @GeorgeSirdar: Putin says 95% of Global Terrorism is done by the CIA 

#Russia #Iran #India #Putin #USA #Biden #Germany #NATO #Ukraine #…",3,30,27,1
928,46,planetaosasco,2023-02-11 02:51:18+00:00,0,PlanetaOsasco,EUA afirmam que vão concluir destruição de seu arsenal de armas químicas até junho - https://t.co/8vmPeoVJxQ #brasil #EUA #Rússia,1202,7,0,1
929,47,TwoSentenceHorr,2023-02-11 02:51:12+00:00,0,TwoSentenceHorror112,"#Instagram Trends To Keep An Eye On For 2023

#psilocybin #foster #freechapters #lostcoin #ethdenver #horropunk… https://t.co/OgRWBqs4DZ",9,1,0,1
935,53,AnneAnton3,2023-02-11 02:50:26+00:00,0,Twitter Web App,"RT @halyapuff: #Russia tortures #CrimeanTatar political prisoner #DzhemilGafarov to death 
#Ukraine #LetMyPeopleGo #Crimea #StandWithUkrain…",22,163,10,1
936,54,rohanku67440943,2023-02-11 02:50:16+00:00,0,Twitter Web App,"RT @kaafir_indian: Please watch #exmuslim on YouTube 
@NewsNation @ZeeNews @AJEnglish @ExMuslimSameer @ExmuslimSahil @SachwalaTeam @teamsac…",0,5,23,1
937,55,planetaosasco,2023-02-11 02:50:07+00:00,0,PlanetaOsasco,Vučić: Sérvia está no centro da tensão entre o Ocidente e a Rússia - https://t.co/YXnqhGap1B #Belgrado #EUA #Kiev #Rússia #Sérvia #Ucrânia,1202,7,0,1
938,56,GhoulPanza,2023-02-11 02:49:56+00:00,0,Twitter Web App,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",3,30,27,1
953,71,Wmadall,2023-02-11 02:46:16+00:00,0,Twitter for Android,"RT @rst_like: #Zelensky says that ""#Ukraine️ cannot drive people with sticks into war like #Russia"". Please, judge his words by yourselves.…",15,88,22,1
962,80,thepotatoemoji,2023-02-11 02:45:22+00:00,1,Twitter for iPhone,"Who knew that in 2023, our “fearless leader” would be battling balloons…🎈
#Pentagon #Biden #Balloon #UFO #Trump… https://t.co/ab3HlKsFZK",11,1,0,1
964,82,JohonanG,2023-02-11 02:45:04+00:00,0,Twitter for Android,"RT @ThierryGooseBC: Yesterday we set both the lowest and highest temperatures for February 2023 worldwide.

🥶 -57.9°C in Oymyakon, Siberia,…",47,98,12,1
966,84,NaukatN,2023-02-11 02:44:42+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,13,145,10,1
970,88,XAEA129,2023-02-11 02:44:18+00:00,0,Twitter Web App,"@GeorgeSirdar Q. What do you call a Russian soldier that's had both legs blown off ?
A. Oleg !!!! 
#Russia #Putin… https://t.co/IDyxbpogr9",32,176,0,1
971,89,SaadaanT,2023-02-11 02:44:08+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,12,5,10,1
973,91,rubenrpduarte,2023-02-11 02:43:46+00:00,0,Twitter for iPhone,RT @igorsushko: CNN in #Portugal. Misspelled Zelensky's name and labeled him President of #Russia. https://t.co/ZYdDbHnVFp,5,122,66,1
975,93,pilthon666,2023-02-11 02:43:44+00:00,0,Twitter for Android,RT @JasonMBrodsky: Mind boggling. A military attaché from #Ukraine in #Iran attended the anniversary of Islamic Revolution ceremony this we…,46,106,45,1
978,96,SaadaanT,2023-02-11 02:43:08+00:00,0,Twitter for Android,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",12,5,27,1
986,6,Santin16Giorgio,2023-02-11 02:57:38+00:00,0,Twitter Web App,"@sandumaiamd Not ony #Russia, but Putin's little helpers #Iran regime and its friend #Armenia, who is trying to hel… https://t.co/6G4bVeejel",3,12,0,1
993,13,OlehOstrowsky,2023-02-11 02:56:23+00:00,0,Twitter for Android,RT @lesiavasylenko: 61/71 missiles #russia launched were downed by #Ukraine air defence. 6 infrastructure targets hit nonetheless. We need…,22,14,110,1
994,14,tatersngravy_71,2023-02-11 02:56:05+00:00,0,Twitter for iPhone,#Douche Nozzle and Simpleton #NYPrepper @nyprepper1 offers dumbed down “analysis” of the war. Kisses @newsklw Ass… https://t.co/MMRCvmJnRe,17,52,0,1
997,17,LaylaGorka,2023-02-11 02:55:55+00:00,0,Twitter for iPad,"RT @nexta_tv: The #US President to visit #Poland on February 20-22, White House says

Earlier, Polish authorities said they had sent Joe Bi…",28,42,44,1
998,18,MAMARTINEZNica,2023-02-11 02:55:53+00:00,0,Twitter Web App,"RT @MAMARTINEZNica: CAUSA ADMIRACIÓN DETERMINACIÓN DE #RUSSIA 

https://t.co/MDVPdybqnw

#Spain #Portugal #France #Germany #Netherlands #Be…",40,18,1,1
1002,22,Santin16Giorgio,2023-02-11 02:55:25+00:00,0,Twitter Web App,"@RaufHabibov @sandumaiamd @EmmanuelMacron @NATO Macron's favorite courtesan #Armenia is #Iran regime's friend, who… https://t.co/2Zv98il0F3",3,12,0,1
1014,34,JohnnyL55189795,2023-02-11 02:53:58+00:00,1,Twitter Web App,"@Paul69405499 @medialens @GeorgeMonbiot #Russia forced the Warsaw Pact on countries that didn't want it, which is w… https://t.co/fL4DitVMVc",61,12,0,1
1021,41,ahlbaytrevive,2023-02-11 02:53:12+00:00,0,Twitter for iPhone,@richimedhurst #War monger #Putin: for someone who doesn't want a war he's been pretty busy. First there was… https://t.co/e8dTm1SSW8,19,26,0,1
1024,44,GhoulPanza,2023-02-11 02:51:33+00:00,0,Twitter Web App,"RT @GeorgeSirdar: Putin says 95% of Global Terrorism is done by the CIA 

#Russia #Iran #India #Putin #USA #Biden #Germany #NATO #Ukraine #…",3,30,27,1
1026,46,planetaosasco,2023-02-11 02:51:18+00:00,0,PlanetaOsasco,EUA afirmam que vão concluir destruição de seu arsenal de armas químicas até junho - https://t.co/8vmPeoVJxQ #brasil #EUA #Rússia,1202,7,0,1
1027,47,TwoSentenceHorr,2023-02-11 02:51:12+00:00,0,TwoSentenceHorror112,"#Instagram Trends To Keep An Eye On For 2023

#psilocybin #foster #freechapters #lostcoin #ethdenver #horropunk… https://t.co/OgRWBqs4DZ",9,1,0,1
1033,53,AnneAnton3,2023-02-11 02:50:26+00:00,0,Twitter Web App,"RT @halyapuff: #Russia tortures #CrimeanTatar political prisoner #DzhemilGafarov to death 
#Ukraine #LetMyPeopleGo #Crimea #StandWithUkrain…",22,163,10,1
1034,54,rohanku67440943,2023-02-11 02:50:16+00:00,0,Twitter Web App,"RT @kaafir_indian: Please watch #exmuslim on YouTube 
@NewsNation @ZeeNews @AJEnglish @ExMuslimSameer @ExmuslimSahil @SachwalaTeam @teamsac…",0,5,23,1
1035,55,planetaosasco,2023-02-11 02:50:07+00:00,0,PlanetaOsasco,Vučić: Sérvia está no centro da tensão entre o Ocidente e a Rússia - https://t.co/YXnqhGap1B #Belgrado #EUA #Kiev #Rússia #Sérvia #Ucrânia,1202,7,0,1
1036,56,GhoulPanza,2023-02-11 02:49:56+00:00,0,Twitter Web App,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",3,30,27,1
1051,71,Wmadall,2023-02-11 02:46:16+00:00,0,Twitter for Android,"RT @rst_like: #Zelensky says that ""#Ukraine️ cannot drive people with sticks into war like #Russia"". Please, judge his words by yourselves.…",15,88,22,1
1060,80,thepotatoemoji,2023-02-11 02:45:22+00:00,1,Twitter for iPhone,"Who knew that in 2023, our “fearless leader” would be battling balloons…🎈
#Pentagon #Biden #Balloon #UFO #Trump… https://t.co/ab3HlKsFZK",11,1,0,1
1062,82,JohonanG,2023-02-11 02:45:04+00:00,0,Twitter for Android,"RT @ThierryGooseBC: Yesterday we set both the lowest and highest temperatures for February 2023 worldwide.

🥶 -57.9°C in Oymyakon, Siberia,…",47,98,12,1
1064,84,NaukatN,2023-02-11 02:44:42+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,13,145,10,1
1068,88,XAEA129,2023-02-11 02:44:18+00:00,0,Twitter Web App,"@GeorgeSirdar Q. What do you call a Russian soldier that's had both legs blown off ?
A. Oleg !!!! 
#Russia #Putin… https://t.co/IDyxbpogr9",32,176,0,1
1069,89,SaadaanT,2023-02-11 02:44:08+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,12,5,10,1
1071,91,rubenrpduarte,2023-02-11 02:43:46+00:00,0,Twitter for iPhone,RT @igorsushko: CNN in #Portugal. Misspelled Zelensky's name and labeled him President of #Russia. https://t.co/ZYdDbHnVFp,5,122,66,1
1073,93,pilthon666,2023-02-11 02:43:44+00:00,0,Twitter for Android,RT @JasonMBrodsky: Mind boggling. A military attaché from #Ukraine in #Iran attended the anniversary of Islamic Revolution ceremony this we…,46,106,45,1
1076,96,SaadaanT,2023-02-11 02:43:08+00:00,0,Twitter for Android,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",12,5,27,1
1084,6,Santin16Giorgio,2023-02-11 02:57:38+00:00,0,Twitter Web App,"@sandumaiamd Not ony #Russia, but Putin's little helpers #Iran regime and its friend #Armenia, who is trying to hel… https://t.co/6G4bVeejel",3,12,0,1
1091,13,OlehOstrowsky,2023-02-11 02:56:23+00:00,0,Twitter for Android,RT @lesiavasylenko: 61/71 missiles #russia launched were downed by #Ukraine air defence. 6 infrastructure targets hit nonetheless. We need…,22,14,110,1
1092,14,tatersngravy_71,2023-02-11 02:56:05+00:00,0,Twitter for iPhone,#Douche Nozzle and Simpleton #NYPrepper @nyprepper1 offers dumbed down “analysis” of the war. Kisses @newsklw Ass… https://t.co/MMRCvmJnRe,17,52,0,1
1095,17,LaylaGorka,2023-02-11 02:55:55+00:00,0,Twitter for iPad,"RT @nexta_tv: The #US President to visit #Poland on February 20-22, White House says

Earlier, Polish authorities said they had sent Joe Bi…",28,42,44,1
1096,18,MAMARTINEZNica,2023-02-11 02:55:53+00:00,0,Twitter Web App,"RT @MAMARTINEZNica: CAUSA ADMIRACIÓN DETERMINACIÓN DE #RUSSIA 

https://t.co/MDVPdybqnw

#Spain #Portugal #France #Germany #Netherlands #Be…",40,18,1,1
1100,22,Santin16Giorgio,2023-02-11 02:55:25+00:00,0,Twitter Web App,"@RaufHabibov @sandumaiamd @EmmanuelMacron @NATO Macron's favorite courtesan #Armenia is #Iran regime's friend, who… https://t.co/2Zv98il0F3",3,12,0,1
1112,34,JohnnyL55189795,2023-02-11 02:53:58+00:00,1,Twitter Web App,"@Paul69405499 @medialens @GeorgeMonbiot #Russia forced the Warsaw Pact on countries that didn't want it, which is w… https://t.co/fL4DitVMVc",61,12,0,1
1119,41,ahlbaytrevive,2023-02-11 02:53:12+00:00,0,Twitter for iPhone,@richimedhurst #War monger #Putin: for someone who doesn't want a war he's been pretty busy. First there was… https://t.co/e8dTm1SSW8,19,26,0,1
1122,44,GhoulPanza,2023-02-11 02:51:33+00:00,0,Twitter Web App,"RT @GeorgeSirdar: Putin says 95% of Global Terrorism is done by the CIA 

#Russia #Iran #India #Putin #USA #Biden #Germany #NATO #Ukraine #…",3,30,27,1
1124,46,planetaosasco,2023-02-11 02:51:18+00:00,0,PlanetaOsasco,EUA afirmam que vão concluir destruição de seu arsenal de armas químicas até junho - https://t.co/8vmPeoVJxQ #brasil #EUA #Rússia,1202,7,0,1
1125,47,TwoSentenceHorr,2023-02-11 02:51:12+00:00,0,TwoSentenceHorror112,"#Instagram Trends To Keep An Eye On For 2023

#psilocybin #foster #freechapters #lostcoin #ethdenver #horropunk… https://t.co/OgRWBqs4DZ",9,1,0,1
1131,53,AnneAnton3,2023-02-11 02:50:26+00:00,0,Twitter Web App,"RT @halyapuff: #Russia tortures #CrimeanTatar political prisoner #DzhemilGafarov to death 
#Ukraine #LetMyPeopleGo #Crimea #StandWithUkrain…",22,163,10,1
1132,54,rohanku67440943,2023-02-11 02:50:16+00:00,0,Twitter Web App,"RT @kaafir_indian: Please watch #exmuslim on YouTube 
@NewsNation @ZeeNews @AJEnglish @ExMuslimSameer @ExmuslimSahil @SachwalaTeam @teamsac…",0,5,23,1
1133,55,planetaosasco,2023-02-11 02:50:07+00:00,0,PlanetaOsasco,Vučić: Sérvia está no centro da tensão entre o Ocidente e a Rússia - https://t.co/YXnqhGap1B #Belgrado #EUA #Kiev #Rússia #Sérvia #Ucrânia,1202,7,0,1
1134,56,GhoulPanza,2023-02-11 02:49:56+00:00,0,Twitter Web App,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",3,30,27,1
1149,71,Wmadall,2023-02-11 02:46:16+00:00,0,Twitter for Android,"RT @rst_like: #Zelensky says that ""#Ukraine️ cannot drive people with sticks into war like #Russia"". Please, judge his words by yourselves.…",15,88,22,1
1158,80,thepotatoemoji,2023-02-11 02:45:22+00:00,1,Twitter for iPhone,"Who knew that in 2023, our “fearless leader” would be battling balloons…🎈
#Pentagon #Biden #Balloon #UFO #Trump… https://t.co/ab3HlKsFZK",11,1,0,1
1160,82,JohonanG,2023-02-11 02:45:04+00:00,0,Twitter for Android,"RT @ThierryGooseBC: Yesterday we set both the lowest and highest temperatures for February 2023 worldwide.

🥶 -57.9°C in Oymyakon, Siberia,…",47,98,12,1
1162,84,NaukatN,2023-02-11 02:44:42+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,13,145,10,1
1166,88,XAEA129,2023-02-11 02:44:18+00:00,0,Twitter Web App,"@GeorgeSirdar Q. What do you call a Russian soldier that's had both legs blown off ?
A. Oleg !!!! 
#Russia #Putin… https://t.co/IDyxbpogr9",32,176,0,1
1167,89,SaadaanT,2023-02-11 02:44:08+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,12,5,10,1
1169,91,rubenrpduarte,2023-02-11 02:43:46+00:00,0,Twitter for iPhone,RT @igorsushko: CNN in #Portugal. Misspelled Zelensky's name and labeled him President of #Russia. https://t.co/ZYdDbHnVFp,5,122,66,1
1171,93,pilthon666,2023-02-11 02:43:44+00:00,0,Twitter for Android,RT @JasonMBrodsky: Mind boggling. A military attaché from #Ukraine in #Iran attended the anniversary of Islamic Revolution ceremony this we…,46,106,45,1
1174,96,SaadaanT,2023-02-11 02:43:08+00:00,0,Twitter for Android,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",12,5,27,1
1182,6,Santin16Giorgio,2023-02-11 02:57:38+00:00,0,Twitter Web App,"@sandumaiamd Not ony #Russia, but Putin's little helpers #Iran regime and its friend #Armenia, who is trying to hel… https://t.co/6G4bVeejel",3,12,0,1
1189,13,OlehOstrowsky,2023-02-11 02:56:23+00:00,0,Twitter for Android,RT @lesiavasylenko: 61/71 missiles #russia launched were downed by #Ukraine air defence. 6 infrastructure targets hit nonetheless. We need…,22,14,110,1
1190,14,tatersngravy_71,2023-02-11 02:56:05+00:00,0,Twitter for iPhone,#Douche Nozzle and Simpleton #NYPrepper @nyprepper1 offers dumbed down “analysis” of the war. Kisses @newsklw Ass… https://t.co/MMRCvmJnRe,17,52,0,1
1193,17,LaylaGorka,2023-02-11 02:55:55+00:00,0,Twitter for iPad,"RT @nexta_tv: The #US President to visit #Poland on February 20-22, White House says

Earlier, Polish authorities said they had sent Joe Bi…",28,42,44,1
1194,18,MAMARTINEZNica,2023-02-11 02:55:53+00:00,0,Twitter Web App,"RT @MAMARTINEZNica: CAUSA ADMIRACIÓN DETERMINACIÓN DE #RUSSIA 

https://t.co/MDVPdybqnw

#Spain #Portugal #France #Germany #Netherlands #Be…",40,18,1,1
1198,22,Santin16Giorgio,2023-02-11 02:55:25+00:00,0,Twitter Web App,"@RaufHabibov @sandumaiamd @EmmanuelMacron @NATO Macron's favorite courtesan #Armenia is #Iran regime's friend, who… https://t.co/2Zv98il0F3",3,12,0,1
1210,34,JohnnyL55189795,2023-02-11 02:53:58+00:00,1,Twitter Web App,"@Paul69405499 @medialens @GeorgeMonbiot #Russia forced the Warsaw Pact on countries that didn't want it, which is w… https://t.co/fL4DitVMVc",61,12,0,1
1217,41,ahlbaytrevive,2023-02-11 02:53:12+00:00,0,Twitter for iPhone,@richimedhurst #War monger #Putin: for someone who doesn't want a war he's been pretty busy. First there was… https://t.co/e8dTm1SSW8,19,26,0,1
1220,44,GhoulPanza,2023-02-11 02:51:33+00:00,0,Twitter Web App,"RT @GeorgeSirdar: Putin says 95% of Global Terrorism is done by the CIA 

#Russia #Iran #India #Putin #USA #Biden #Germany #NATO #Ukraine #…",3,30,27,1
1222,46,planetaosasco,2023-02-11 02:51:18+00:00,0,PlanetaOsasco,EUA afirmam que vão concluir destruição de seu arsenal de armas químicas até junho - https://t.co/8vmPeoVJxQ #brasil #EUA #Rússia,1202,7,0,1
1223,47,TwoSentenceHorr,2023-02-11 02:51:12+00:00,0,TwoSentenceHorror112,"#Instagram Trends To Keep An Eye On For 2023

#psilocybin #foster #freechapters #lostcoin #ethdenver #horropunk… https://t.co/OgRWBqs4DZ",9,1,0,1
1229,53,AnneAnton3,2023-02-11 02:50:26+00:00,0,Twitter Web App,"RT @halyapuff: #Russia tortures #CrimeanTatar political prisoner #DzhemilGafarov to death 
#Ukraine #LetMyPeopleGo #Crimea #StandWithUkrain…",22,163,10,1
1230,54,rohanku67440943,2023-02-11 02:50:16+00:00,0,Twitter Web App,"RT @kaafir_indian: Please watch #exmuslim on YouTube 
@NewsNation @ZeeNews @AJEnglish @ExMuslimSameer @ExmuslimSahil @SachwalaTeam @teamsac…",0,5,23,1
1231,55,planetaosasco,2023-02-11 02:50:07+00:00,0,PlanetaOsasco,Vučić: Sérvia está no centro da tensão entre o Ocidente e a Rússia - https://t.co/YXnqhGap1B #Belgrado #EUA #Kiev #Rússia #Sérvia #Ucrânia,1202,7,0,1
1232,56,GhoulPanza,2023-02-11 02:49:56+00:00,0,Twitter Web App,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",3,30,27,1
1247,71,Wmadall,2023-02-11 02:46:16+00:00,0,Twitter for Android,"RT @rst_like: #Zelensky says that ""#Ukraine️ cannot drive people with sticks into war like #Russia"". Please, judge his words by yourselves.…",15,88,22,1
1256,80,thepotatoemoji,2023-02-11 02:45:22+00:00,1,Twitter for iPhone,"Who knew that in 2023, our “fearless leader” would be battling balloons…🎈
#Pentagon #Biden #Balloon #UFO #Trump… https://t.co/ab3HlKsFZK",11,1,0,1
1258,82,JohonanG,2023-02-11 02:45:04+00:00,0,Twitter for Android,"RT @ThierryGooseBC: Yesterday we set both the lowest and highest temperatures for February 2023 worldwide.

🥶 -57.9°C in Oymyakon, Siberia,…",47,98,12,1
1260,84,NaukatN,2023-02-11 02:44:42+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,13,145,10,1
1264,88,XAEA129,2023-02-11 02:44:18+00:00,0,Twitter Web App,"@GeorgeSirdar Q. What do you call a Russian soldier that's had both legs blown off ?
A. Oleg !!!! 
#Russia #Putin… https://t.co/IDyxbpogr9",32,176,0,1
1265,89,SaadaanT,2023-02-11 02:44:08+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,12,5,10,1
1267,91,rubenrpduarte,2023-02-11 02:43:46+00:00,0,Twitter for iPhone,RT @igorsushko: CNN in #Portugal. Misspelled Zelensky's name and labeled him President of #Russia. https://t.co/ZYdDbHnVFp,5,122,66,1
1269,93,pilthon666,2023-02-11 02:43:44+00:00,0,Twitter for Android,RT @JasonMBrodsky: Mind boggling. A military attaché from #Ukraine in #Iran attended the anniversary of Islamic Revolution ceremony this we…,46,106,45,1
1272,96,SaadaanT,2023-02-11 02:43:08+00:00,0,Twitter for Android,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",12,5,27,1
1280,6,Santin16Giorgio,2023-02-11 02:57:38+00:00,0,Twitter Web App,"@sandumaiamd Not ony #Russia, but Putin's little helpers #Iran regime and its friend #Armenia, who is trying to hel… https://t.co/6G4bVeejel",3,12,0,1
1287,13,OlehOstrowsky,2023-02-11 02:56:23+00:00,0,Twitter for Android,RT @lesiavasylenko: 61/71 missiles #russia launched were downed by #Ukraine air defence. 6 infrastructure targets hit nonetheless. We need…,22,14,110,1
1288,14,tatersngravy_71,2023-02-11 02:56:05+00:00,0,Twitter for iPhone,#Douche Nozzle and Simpleton #NYPrepper @nyprepper1 offers dumbed down “analysis” of the war. Kisses @newsklw Ass… https://t.co/MMRCvmJnRe,17,52,0,1
1291,17,LaylaGorka,2023-02-11 02:55:55+00:00,0,Twitter for iPad,"RT @nexta_tv: The #US President to visit #Poland on February 20-22, White House says

Earlier, Polish authorities said they had sent Joe Bi…",28,42,44,1
1292,18,MAMARTINEZNica,2023-02-11 02:55:53+00:00,0,Twitter Web App,"RT @MAMARTINEZNica: CAUSA ADMIRACIÓN DETERMINACIÓN DE #RUSSIA 

https://t.co/MDVPdybqnw

#Spain #Portugal #France #Germany #Netherlands #Be…",40,18,1,1
1296,22,Santin16Giorgio,2023-02-11 02:55:25+00:00,0,Twitter Web App,"@RaufHabibov @sandumaiamd @EmmanuelMacron @NATO Macron's favorite courtesan #Armenia is #Iran regime's friend, who… https://t.co/2Zv98il0F3",3,12,0,1
1308,34,JohnnyL55189795,2023-02-11 02:53:58+00:00,1,Twitter Web App,"@Paul69405499 @medialens @GeorgeMonbiot #Russia forced the Warsaw Pact on countries that didn't want it, which is w… https://t.co/fL4DitVMVc",61,12,0,1
1315,41,ahlbaytrevive,2023-02-11 02:53:12+00:00,0,Twitter for iPhone,@richimedhurst #War monger #Putin: for someone who doesn't want a war he's been pretty busy. First there was… https://t.co/e8dTm1SSW8,19,26,0,1
1318,44,GhoulPanza,2023-02-11 02:51:33+00:00,0,Twitter Web App,"RT @GeorgeSirdar: Putin says 95% of Global Terrorism is done by the CIA 

#Russia #Iran #India #Putin #USA #Biden #Germany #NATO #Ukraine #…",3,30,27,1
1320,46,planetaosasco,2023-02-11 02:51:18+00:00,0,PlanetaOsasco,EUA afirmam que vão concluir destruição de seu arsenal de armas químicas até junho - https://t.co/8vmPeoVJxQ #brasil #EUA #Rússia,1202,7,0,1
1321,47,TwoSentenceHorr,2023-02-11 02:51:12+00:00,0,TwoSentenceHorror112,"#Instagram Trends To Keep An Eye On For 2023

#psilocybin #foster #freechapters #lostcoin #ethdenver #horropunk… https://t.co/OgRWBqs4DZ",9,1,0,1
1327,53,AnneAnton3,2023-02-11 02:50:26+00:00,0,Twitter Web App,"RT @halyapuff: #Russia tortures #CrimeanTatar political prisoner #DzhemilGafarov to death 
#Ukraine #LetMyPeopleGo #Crimea #StandWithUkrain…",22,163,10,1
1328,54,rohanku67440943,2023-02-11 02:50:16+00:00,0,Twitter Web App,"RT @kaafir_indian: Please watch #exmuslim on YouTube 
@NewsNation @ZeeNews @AJEnglish @ExMuslimSameer @ExmuslimSahil @SachwalaTeam @teamsac…",0,5,23,1
1329,55,planetaosasco,2023-02-11 02:50:07+00:00,0,PlanetaOsasco,Vučić: Sérvia está no centro da tensão entre o Ocidente e a Rússia - https://t.co/YXnqhGap1B #Belgrado #EUA #Kiev #Rússia #Sérvia #Ucrânia,1202,7,0,1
1330,56,GhoulPanza,2023-02-11 02:49:56+00:00,0,Twitter Web App,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",3,30,27,1
1345,71,Wmadall,2023-02-11 02:46:16+00:00,0,Twitter for Android,"RT @rst_like: #Zelensky says that ""#Ukraine️ cannot drive people with sticks into war like #Russia"". Please, judge his words by yourselves.…",15,88,22,1
1354,80,thepotatoemoji,2023-02-11 02:45:22+00:00,1,Twitter for iPhone,"Who knew that in 2023, our “fearless leader” would be battling balloons…🎈
#Pentagon #Biden #Balloon #UFO #Trump… https://t.co/ab3HlKsFZK",11,1,0,1
1356,82,JohonanG,2023-02-11 02:45:04+00:00,0,Twitter for Android,"RT @ThierryGooseBC: Yesterday we set both the lowest and highest temperatures for February 2023 worldwide.

🥶 -57.9°C in Oymyakon, Siberia,…",47,98,12,1
1358,84,NaukatN,2023-02-11 02:44:42+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,13,145,10,1
1362,88,XAEA129,2023-02-11 02:44:18+00:00,0,Twitter Web App,"@GeorgeSirdar Q. What do you call a Russian soldier that's had both legs blown off ?
A. Oleg !!!! 
#Russia #Putin… https://t.co/IDyxbpogr9",32,176,0,1
1363,89,SaadaanT,2023-02-11 02:44:08+00:00,0,Twitter for Android,RT @GNganjani: Why i stand with Russia and Putin and everything they doing #UkraineRussianWar  #Ukraine #Russia #Moscow #politics  #NATO ht…,12,5,10,1
1365,91,rubenrpduarte,2023-02-11 02:43:46+00:00,0,Twitter for iPhone,RT @igorsushko: CNN in #Portugal. Misspelled Zelensky's name and labeled him President of #Russia. https://t.co/ZYdDbHnVFp,5,122,66,1
1367,93,pilthon666,2023-02-11 02:43:44+00:00,0,Twitter for Android,RT @JasonMBrodsky: Mind boggling. A military attaché from #Ukraine in #Iran attended the anniversary of Islamic Revolution ceremony this we…,46,106,45,1
1370,96,SaadaanT,2023-02-11 02:43:08+00:00,0,Twitter for Android,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",12,5,27,1
1378,6,Santin16Giorgio,2023-02-11 02:57:38+00:00,0,Twitter Web App,"@sandumaiamd Not ony #Russia, but Putin's little helpers #Iran regime and its friend #Armenia, who is trying to hel… https://t.co/6G4bVeejel",3,12,0,1
